9386	4955	12
6851	1770	1
210	5210	8
4205	406	12
11533	12345	3
7182	2075	12
7217	8289	12
7969	8683	8
5334	5300	12
3121	8751	12
3121	12755	12
10277	7943	8
14296	4902	12
8277	6705	12
14246	9727	12
10617	7513	12
9491	10978	12
10361	2926	12
13854	6036	1
10263	1365	2
10484	12977	12
2594	10377	8
6828	4462	12
14583	12952	8
4828	13130	3
3895	7105	12
14395	8383	12
14667	1021	12
5202	306	8
540	12893	12
9940	1047	8
9956	871	12
13250	1120	12
13622	1990	12
7588	5917	10
7546	11627	8
6989	12420	12
3200	8245	12
7586	8838	12
3464	5407	12
1541	2367	12
1560	2247	3
3950	4292	12
10282	2818	3
2119	10781	12
9859	2103	12
8047	5285	12
5334	7934	12
11280	12805	12
6164	8362	12
8715	4171	12
14281	14614	8
2915	5210	8
527	7044	12
6367	12642	3
3788	963	12
12814	171	15
11997	5087	12
5403	7408	12
4224	13460	12
11941	6526	12
13902	4059	12
10170	11763	12
291	1695	8
9170	10095	12
3237	5183	3
1914	9101	12
5434	10818	12
8707	3571	12
1894	3247	12
5563	12747	12
11772	2360	12
11030	161	8
4046	2630	8
7670	3337	8
14597	3962	12
12810	3337	8
10484	4810	12
10624	101	12
7761	6037	12
13018	7335	12
12893	1954	12
4795	6203	12
6775	12095	12
2031	6705	3
3990	5905	12
11889	1695	8
8131	161	8
10239	14201	12
7829	14100	3
8920	4979	12
726	11198	12
3581	5972	12
7536	7208	12
1102	2451	12
10437	10124	12
6561	5357	12
4926	3506	12
7262	11758	2
5007	11636	8
4842	8221	8
7709	11747	12
4855	1246	3
13459	702	12
5615	7914	8
9671	10226	12
14618	1097	8
1429	4216	3
106	9013	12
1165	11117	3
13450	11957	12
11682	945	8
1406	5042	12
7241	8535	12
7855	2881	12
1064	12235	12
11573	12809	3
13482	4546	12
11056	3013	12
3424	14614	8
4093	11369	12
6271	4603	12
13428	10191	8
11495	1695	8
2022	1673	12
12983	11980	3
13432	11265	12
12819	6691	3
7454	14418	8
2105	945	8
115	13669	8
10260	11226	12
858	10936	12
449	1387	12
2967	1739	3
14157	2969	8
953	10377	8
7971	6972	12
2781	1981	12
7380	11177	12
461	6477	12
8314	12755	12
677	10914	12
8992	2630	8
174	162	16
8397	1538	0
1582	13190	12
4968	10535	12
1290	4746	12
2791	2663	12
13251	161	8
9231	4155	12
1948	5046	12
10545	10395	1
7177	9573	8
10130	3924	12
14530	7914	8
6671	12202	12
6427	10733	12
12787	2649	8
2047	2885	12
8535	7943	8
12929	4594	12
4987	13718	12
4359	4988	8
14646	2910	12
6741	1876	12
7960	10091	12
3533	10535	12
11538	11803	12
6383	2088	12
6137	7943	8
1064	6251	10
11211	8133	8
12991	4631	12
10469	3758	12
13695	11988	12
12055	12426	12
10078	5979	12
2869	4622	12
8277	6705	3
4199	945	8
3121	7914	8
11184	12547	12
12977	10377	8
70	5738	12
6880	14091	10
14379	10257	3
4147	9121	12
12908	9097	12
13807	8103	3
3921	1212	12
13975	3448	12
1795	2990	12
9136	13669	8
8638	1445	12
8389	7256	3
7586	1597	12
605	9614	8
751	2839	12
4462	12557	12
4005	13832	12
6903	144	3
1466	13935	8
10557	6553	12
1981	4606	12
9907	3983	12
9622	13792	8
8323	4988	8
3500	12410	12
6897	3080	12
9472	7914	8
2869	283	12
14558	1960	12
11889	2284	12
13546	2649	8
11532	4763	8
1803	5585	3
7638	10498	12
103	8031	15
3339	2618	12
3987	10570	12
5954	6188	12
6860	12616	12
906	12988	12
6846	945	8
5131	4093	12
2979	8221	8
11011	7594	12
11312	7582	12
7388	8519	12
3385	8428	12
919	13866	12
3457	8970	12
9337	11636	8
1394	7914	8
9445	13196	12
13415	110	3
1026	2146	12
11413	6138	12
7806	5300	12
6909	7625	12
13113	4988	8
13671	2805	8
13854	6606	12
5538	8003	10
6619	7943	8
6594	745	12
9687	7943	8
10930	3539	3
12729	13535	3
12602	9792	12
3994	9416	12
12559	8221	8
14279	5297	12
6863	3521	12
253	7838	3
7855	9869	12
318	1239	12
9715	3337	8
13422	8551	12
3434	7046	8
