0	http://dbpedia.org/ontology/cinematography
1	http://dbpedia.org/property/productionCompanies
2	http://dbpedia.org/property/composer
3	http://purl.org/dc/terms/subject
4	http://dbpedia.org/ontology/openingFilm
5	http://www.w3.org/2000/01/rdf-schema#seeAlso
6	http://dbpedia.org/property/story
7	http://dbpedia.org/ontology/series
8	http://www.w3.org/1999/02/22-rdf-syntax-ns#type
9	http://dbpedia.org/ontology/basedOn
10	http://dbpedia.org/ontology/starring
11	http://dbpedia.org/ontology/country
12	http://dbpedia.org/ontology/wikiPageWikiLink
13	http://purl.org/linguistics/gold/hypernym
14	http://dbpedia.org/ontology/editing
15	http://dbpedia.org/property/producers
16	http://dbpedia.org/property/allWriting
17	http://dbpedia.org/property/notableWork
18	http://dbpedia.org/ontology/director
19	http://dbpedia.org/ontology/award
